family,n_obs,p0_mean,p0_lo,p0_hi,etau_mean,etau_lo,etau_hi,P_p0_lt_0143
贝瑟,8,0.16862321699617744,0.1079918080802263,0.24899775647667946,6.317843403715036,4.016100442552364,9.258970539967422,0.0
方方,8,0.14273784457761274,0.0960745184771179,0.19936333180349258,7.359338844120223,5.015967448303485,10.405366100127594,0.0
雪熊,8,0.12972079413394083,0.0898641700488327,0.18055030216358048,8.059729209788621,5.538622165044205,11.12195023965381,0.0
柴渣,9,0.12968091759965678,0.0914895676513829,0.1774708349731652,8.03060328558944,5.634727808739065,10.925138142830297,0.0
粉星仔,9,0.10995620082472865,0.08118676920538968,0.1450069305850002,9.375607730796816,6.896197282314272,12.303194984474795,0.0
雪影,12,0.10765131587546746,0.08137947256733902,0.1387655701035563,9.530433537985175,7.206352045510222,12.27429534591712,0.0
拉特,13,0.09908111784866307,0.07549312773285446,0.1254502128838301,10.322245957378874,7.971114275393618,13.221412988005126,0.0
其他(合并),152,0.09464908696603315,0.08084190623254889,0.10683284445278811,10.638250678580714,9.359305736659353,12.355248057619718,0.0
兔,9,0.09107870987552283,0.06815253365051187,0.11570251214210191,11.252652140388404,8.642392814857917,14.621195687004708,0.0
狼,24,0.08812445670909176,0.07096090500743854,0.10526550122918835,11.503666398572333,9.498490624479782,14.05320961836861,0.0
恶魔狼,14,0.07984459200216236,0.06183911118998653,0.09818163291818312,12.75175066764338,10.182589258918815,16.07306412914331,0.0
